"gene","mean_target","mean_ref","estimate","levene_p","variances_equal","p_val","padj","symbol","description"
"ENSG00000146221",8.20833333333333,15.5243445692884,-7.31601123595506,0.0233086487178352,FALSE,0.00162307237781702,0.0366028666299295,"TCTE1","t-complex-associated-testis-expressed 1"
"ENSG00000171236",18.0833333333333,7.88389513108614,10.1994382022472,0.17245914347107,TRUE,0.00162988324370537,0.0367096985538374,"LRG1","leucine rich alpha-2-glycoprotein 1"
"ENSG00000067606",122.333333333333,24.8988764044944,97.434456928839,3.14937420531562e-14,FALSE,0.00163241800775665,0.0367200711452553,"PRKCZ","protein kinase C zeta"
"ENSG00000100985",34.0416666666667,9.69662921348315,24.3450374531835,3.2794100974252e-06,FALSE,0.00163481288187044,0.0367272746798888,"MMP9","matrix metallopeptidase 9"
"ENSG00000149532",30.4166666666667,6.2434456928839,24.1732209737828,6.08010150624564e-08,FALSE,0.00163717394705871,0.03673370137488,"CPSF7","cleavage and polyadenylation specific factor 7"
"ENSG00000163600",2.83333333333333,0.543071161048689,2.29026217228464,3.70427709893608e-08,FALSE,0.0016396637669171,0.0367429970452323,"ICOS","inducible T cell costimulator"
"ENSG00000165609",31.25,7.22846441947566,24.0215355805243,8.81060879859137e-09,FALSE,0.00164200741550288,0.036748997821299,"NUDT5","nudix hydrolase 5"
"ENSG00000151883",49.5,9.94756554307116,39.5524344569288,1.25210161441358e-12,FALSE,0.00165242795438087,0.0369355202984906,"PARP8","poly(ADP-ribose) polymerase family member 8"
"ENSG00000146112",4.125,1.07116104868914,3.05383895131086,3.9562125561731e-05,FALSE,0.00167774511651058,0.0374541258481549,"PPP1R18","protein phosphatase 1 regulatory subunit 18"
"ENSG00000178562",7.875,1.2434456928839,6.6315543071161,1.56351320705019e-11,FALSE,0.00168522105881347,0.0375443933330313,"CD28","CD28 molecule"
"ENSG00000156931",9.08333333333333,2.24719101123596,6.83614232209738,0.000318349605785234,FALSE,0.00168775528419506,0.0375443933330313,"VPS8","VPS8 subunit of CORVET complex"
"ENSG00000170989",24.625,6.47191011235955,18.1530898876404,1.02313421648007e-05,FALSE,0.00168815099661599,0.0375443933330313,"S1PR1","sphingosine-1-phosphate receptor 1"
"ENSG00000049245",44.1666666666667,10.2022471910112,33.9644194756554,5.12112540992898e-08,FALSE,0.00170865155709508,0.0379320893994639,"VAMP3","vesicle associated membrane protein 3"
"ENSG00000012822",27.4166666666667,6.18352059925094,21.2331460674157,1.47523862666589e-08,FALSE,0.00170986879855234,0.0379320893994639,"CALCOCO1","calcium binding and coiled-coil domain 1"
"ENSG00000136810",174.041666666667,45.8464419475655,128.195224719101,5.64352498837487e-05,FALSE,0.00172345610665924,0.0381457132455772,"TXN","thioredoxin"
"ENSG00000147257",5.125,13.2621722846442,-8.13717228464419,0.0384005986606284,FALSE,0.00172422761355938,0.0381457132455772,"GPC3","glypican 3"
"ENSG00000110619",12.7916666666667,2.42696629213483,10.3647003745318,2.31730657719558e-12,FALSE,0.00172605849734552,0.0381457132455772,"CARS1","cysteinyl-tRNA synthetase 1"
"ENSG00000196562",20.7916666666667,7.14232209737828,13.6493445692884,8.86874750081964e-05,FALSE,0.00172926826560473,0.0381457132455772,"SULF2","sulfatase 2"
"ENSG00000122642",79.875,23.6591760299625,56.2158239700374,0.000136965842611844,FALSE,0.00173027214235997,0.0381457132455772,"FKBP9","FKBP prolyl isomerase 9"
"ENSG00000130638",8.20833333333333,2.30337078651685,5.90496254681648,2.98243854108789e-05,FALSE,0.0017380704835466,0.0382227886008671,"ATXN10","ataxin 10"
"ENSG00000135655",46.4166666666667,11.5505617977528,34.8661048689139,1.33425354180733e-07,FALSE,0.00173808647255821,0.0382227886008671,"USP15","ubiquitin specific peptidase 15"
"ENSG00000166716",36.2916666666667,12.1647940074906,24.126872659176,0.00895909290625852,FALSE,0.00174641280006977,0.0383582454089766,"ZNF592","zinc finger protein 592"
"ENSG00000073921",25.5416666666667,8.25093632958801,17.2907303370787,0.000627861931609789,FALSE,0.00174946861393102,0.0383777482929627,"PICALM","phosphatidylinositol binding clathrin assembly protein"
"ENSG00000146223",89.2083333333333,20.0074906367041,69.2008426966292,8.19391607987967e-12,FALSE,0.00175530341544052,0.0384580895588409,"RPL7L1","ribosomal protein L7 like 1"
"ENSG00000090316",14.8333333333333,4.08988764044944,10.7434456928839,1.2936130771464e-05,FALSE,0.00176760143750481,0.0386796640891812,"MAEA","macrophage erythroblast attacher, E3 ubiquitin ligase"
"ENSG00000013364",7.20833333333333,1.61423220973783,5.59410112359551,1.51380806385769e-07,FALSE,0.00177043368733402,0.0386938118109557,"MVP","major vault protein"
"ENSG00000166887",39.7083333333333,10.0224719101124,29.685861423221,7.65204748131452e-07,FALSE,0.00177559870100131,0.0387588456274059,"VPS39","VPS39 subunit of HOPS complex"
"ENSG00000177125",11.5416666666667,3.48689138576779,8.05477528089888,0.00230845407204048,FALSE,0.0017789884601771,0.0387850156533439,"ZBTB34","zinc finger and BTB domain containing 34"
"ENSG00000158793",16.7083333333333,5.08988764044944,11.6184456928839,0.00430721349492948,FALSE,0.00179199148014521,0.0390204491672947,"NIT1","nitrilase 1"
