gene_name,drug_name,drug_id,mechanism,rho,p_val,pathway_associated,source
MS4A1,OCRELIZUMAB,CHEMBL2108041,B-lymphocyte antigen CD20 binding agent,0.24164408762467973,2.6399714021585632e-8,HALLMARK_TNFA_SIGNALING_VIA_NFKB,ChEMBL
MS4A1,UBLITUXIMAB,CHEMBL2108354,B-lymphocyte antigen CD20 binding agent,0.24164408762467973,2.6399714021585632e-8,HALLMARK_TNFA_SIGNALING_VIA_NFKB,ChEMBL
MS4A1,YTTRIUM Y 90 IBRITUMOMAB TIUXETAN,CHEMBL2108667,B-lymphocyte antigen CD20 binding agent,0.24164408762467973,2.6399714021585632e-8,HALLMARK_TNFA_SIGNALING_VIA_NFKB,ChEMBL
MS4A1,LFB-R603,CHEMBL2109348,B-lymphocyte antigen CD20 binding agent,0.24164408762467973,2.6399714021585632e-8,HALLMARK_TNFA_SIGNALING_VIA_NFKB,ChEMBL
MS4A1,FBT-A05,CHEMBL2109351,B-lymphocyte antigen CD20 cross-linking agent,0.24164408762467973,2.6399714021585632e-8,HALLMARK_TNFA_SIGNALING_VIA_NFKB,ChEMBL
MS4A1,OCARATUZUMAB,CHEMBL2109665,B-lymphocyte antigen CD20 binding agent,0.24164408762467973,2.6399714021585632e-8,HALLMARK_TNFA_SIGNALING_VIA_NFKB,ChEMBL
MS4A1,TOSITUMOMAB 131I,CHEMBL3833304,B-lymphocyte antigen CD20 binding agent,0.24164408762467973,2.6399714021585632e-8,HALLMARK_TNFA_SIGNALING_VIA_NFKB,ChEMBL
MS4A1,MOSUNETUZUMAB,CHEMBL4297788,B-lymphocyte antigen CD20 binding agent,0.24164408762467973,2.6399714021585632e-8,HALLMARK_TNFA_SIGNALING_VIA_NFKB,ChEMBL
MS4A1,MT-3724,CHEMBL4297789,B-lymphocyte antigen CD20 binding agent,0.24164408762467973,2.6399714021585632e-8,HALLMARK_TNFA_SIGNALING_VIA_NFKB,ChEMBL
MS4A1,TRU-015,CHEMBL4297845,B-lymphocyte antigen CD20 binding agent,0.24164408762467973,2.6399714021585632e-8,HALLMARK_TNFA_SIGNALING_VIA_NFKB,ChEMBL
MS4A1,ODRONEXTAMAB,CHEMBL4298084,B-lymphocyte antigen CD20 binding agent,0.24164408762467973,2.6399714021585632e-8,HALLMARK_TNFA_SIGNALING_VIA_NFKB,ChEMBL
MS4A1,GLOFITAMAB,CHEMBL4298092,B-lymphocyte antigen CD20 binding agent,0.24164408762467973,2.6399714021585632e-8,HALLMARK_TNFA_SIGNALING_VIA_NFKB,ChEMBL
MS4A1,EPCORITAMAB,CHEMBL4650393,B-lymphocyte antigen CD20 binding agent,0.24164408762467973,2.6399714021585632e-8,HALLMARK_TNFA_SIGNALING_VIA_NFKB,ChEMBL
CD28,TGN-1412,CHEMBL2109250,T-cell-specific surface glycoprotein CD28 agonist,-0.24018816426084305,3.216294048200723e-8,HALLMARK_APICAL_SURFACE,ChEMBL
CD28,LULIZUMAB PEGOL,CHEMBL3137354,T-cell-specific surface glycoprotein CD28 antagonist,-0.24018816426084305,3.216294048200723e-8,HALLMARK_APICAL_SURFACE,ChEMBL
CCL2,Mimosine,DB01055,inhibitor,0.23815385632946406,4.2291891173786253e-8,HALLMARK_INTERFERON_ALPHA_RESPONSE,DrugBank
CCL2,Danazol,DB01406,inhibitor,0.23815385632946406,4.2291891173786253e-8,HALLMARK_INTERFERON_ALPHA_RESPONSE,DrugBank
CCL2,Chondroitin sulfate,DB09301,NA,0.23815385632946406,4.2291891173786253e-8,HALLMARK_INTERFERON_ALPHA_RESPONSE,DrugBank
CCL2,Bindarit,DB12739,inhibitor,0.23815385632946406,4.2291891173786253e-8,HALLMARK_INTERFERON_ALPHA_RESPONSE,DrugBank
CCL2,CARLUMAB,CHEMBL1742999,C-C motif chemokine 2 inhibitor,0.23815385632946406,4.2291891173786253e-8,HALLMARK_INTERFERON_ALPHA_RESPONSE,ChEMBL
IDH2,Isocitric Acid,DB01727,NA,-0.23540501853858167,6.098429022730879e-8,HALLMARK_APICAL_SURFACE,DrugBank
IDH2,Enasidenib,DB13874,inhibitor,-0.23540501853858167,6.098429022730879e-8,HALLMARK_APICAL_SURFACE,DrugBank
IDH2,Vorasidenib,DB17097,inhibitor,-0.23540501853858167,6.098429022730879e-8,HALLMARK_APICAL_SURFACE,DrugBank
IDH2,ENASIDENIB MESYLATE,CHEMBL3989931,"Isocitrate dehydrogenase [NADP], mitochondrial inhibitor",-0.23540501853858167,6.098429022730879e-8,HALLMARK_APICAL_SURFACE,ChEMBL
IDH2,VORASIDENIB,CHEMBL4279047,IDH1/IDH2 inhibitor,-0.23540501853858167,6.098429022730879e-8,HALLMARK_APICAL_SURFACE,ChEMBL
IDH2,VORASIDENIB CITRATE,CHEMBL4594378,"Isocitrate dehydrogenase [NADP], mitochondrial inhibitor",-0.23540501853858167,6.098429022730879e-8,HALLMARK_APICAL_SURFACE,ChEMBL
CYSLTR1,Montelukast,DB00471,antagonist,0.23493367973019702,6.490507819346865e-8,HALLMARK_INTERFERON_GAMMA_RESPONSE,DrugBank
CYSLTR1,Zafirlukast,DB00549,antagonist,0.23493367973019702,6.490507819346865e-8,HALLMARK_INTERFERON_GAMMA_RESPONSE,DrugBank
CYSLTR1,Cinalukast,DB00587,antagonist,0.23493367973019702,6.490507819346865e-8,HALLMARK_INTERFERON_GAMMA_RESPONSE,DrugBank
CYSLTR1,Nedocromil,DB00716,antagonist,0.23493367973019702,6.490507819346865e-8,HALLMARK_INTERFERON_GAMMA_RESPONSE,DrugBank
CYSLTR1,Pranlukast,DB01411,antagonist,0.23493367973019702,6.490507819346865e-8,HALLMARK_INTERFERON_GAMMA_RESPONSE,DrugBank
CYSLTR1,Leukotriene C4,DB08855,agonist,0.23493367973019702,6.490507819346865e-8,HALLMARK_INTERFERON_GAMMA_RESPONSE,DrugBank
CYSLTR1,Hydroquinone,DB09526,activator,0.23493367973019702,6.490507819346865e-8,HALLMARK_INTERFERON_GAMMA_RESPONSE,DrugBank
CYSLTR1,Leukotriene D4,DB11858,agonist,0.23493367973019702,6.490507819346865e-8,HALLMARK_INTERFERON_GAMMA_RESPONSE,DrugBank
CYSLTR1,LY-2300559,DB13016,modulator,0.23493367973019702,6.490507819346865e-8,HALLMARK_INTERFERON_GAMMA_RESPONSE,DrugBank
CYSLTR1,Masilukast,DB16227,modulator,0.23493367973019702,6.490507819346865e-8,HALLMARK_INTERFERON_GAMMA_RESPONSE,DrugBank
CYSLTR1,ZAFIRLUKAST,CHEMBL603,Cysteinyl leukotriene receptor 1 antagonist,0.23493367973019702,6.490507819346865e-8,HALLMARK_INTERFERON_GAMMA_RESPONSE,ChEMBL
CYSLTR1,PRANLUKAST,CHEMBL21333,Cysteinyl leukotriene receptor 1 antagonist,0.23493367973019702,6.490507819346865e-8,HALLMARK_INTERFERON_GAMMA_RESPONSE,ChEMBL
