pathway,symbol,gene,rho,p_val,padj
HALLMARK_KRAS_SIGNALING_DN,PAX3,ENSG00000135903,0.16700661499791003,1.3620006758758915e-4,5.344033186261132e-4
HALLMARK_TNFA_SIGNALING_VIA_NFKB,CXCL10,ENSG00000169245,0.16647882367771352,1.4310386197454903e-4,5.572377655675622e-4
HALLMARK_IL6_JAK_STAT3_SIGNALING,CXCL13,ENSG00000156234,0.1661008119888266,1.482489676238981e-4,5.729321004412303e-4
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,TFPI2,ENSG00000105825,0.16583395257093098,1.5198521047259624e-4,5.829880461411527e-4
HALLMARK_ESTROGEN_RESPONSE_LATE,CXCL12,ENSG00000107562,0.1640820869567769,1.7879478348076483e-4,6.807445830304676e-4
HALLMARK_G2M_CHECKPOINT,PML,ENSG00000140464,0.1635530639850158,1.8772449840309062e-4,7.094881777881513e-4
HALLMARK_INTERFERON_GAMMA_RESPONSE,RIGI,ENSG00000107201,0.16206478492398632,2.1513965197461057e-4,8.071662855105827e-4
HALLMARK_COMPLEMENT,C1QA,ENSG00000173372,0.16193549164441434,2.1769040458454546e-4,8.108178837424374e-4
HALLMARK_INTERFERON_GAMMA_RESPONSE,PML,ENSG00000140464,0.16115685792542817,2.3366016257375088e-4,8.608773905350084e-4
HALLMARK_INFLAMMATORY_RESPONSE,CD40,ENSG00000101017,0.1611182325393775,2.344802231029206e-4,8.608773905350084e-4
HALLMARK_G2M_CHECKPOINT,MT2A,ENSG00000125148,0.16003710886753003,2.585562870739653e-4,9.405538769884972e-4
HALLMARK_INTERFERON_ALPHA_RESPONSE,IFITM1,ENSG00000185885,0.15998207117921107,2.598417325532424e-4,9.405538769884972e-4
HALLMARK_IL6_JAK_STAT3_SIGNALING,CXCL11,ENSG00000169248,0.15917262188405137,2.794505464993343e-4,0.001004458607696908
HALLMARK_ALLOGRAFT_REJECTION,STAT1,ENSG00000115415,0.15883008837645657,2.881576680114988e-4,0.0010285627872077111
HALLMARK_TNFA_SIGNALING_VIA_NFKB,PMEPA1,ENSG00000124225,0.15773796095528309,0.00031764104129042606,0.0011259827256777863
HALLMARK_INTERFERON_GAMMA_RESPONSE,ISG20,ENSG00000172183,0.15633692026635695,3.595920925507962e-4,0.001265961202541844
HALLMARK_INTERFERON_ALPHA_RESPONSE,NUB1,ENSG00000013374,0.1561561148630009,3.653674788460249e-4,0.0012775434294344
HALLMARK_E2F_TARGETS,RRM2,ENSG00000171848,0.15466666763395415,4.1634186543861067e-4,0.001445944046185445
