"pathway","diff_score","AveExpr","t_stat","p_val","padj","B"
"GOBP_SKELETAL_MUSCLE_TISSUE_GROWTH",0.000476686714082838,0.172413659355394,0.517224282152387,0.60545793913334,0.713121852205749,-9.49037264053154
"HP_TESTICULAR_ATROPHY",0.000397806077622853,0.240647715097203,0.517112975766017,0.605535518162272,0.713138056486639,-9.49043037109886
"HP_ABNORMAL_CIRCULATING_VITAMIN_E_CONCENTRATION",0.000430505346839846,0.185092592410216,0.516926638554747,0.60566540267404,0.713215850930521,-9.49052698966974
"HP_PRIMARY_GONADAL_INSUFFICIENCY",-0.000395420560688753,0.147395439798754,-0.516617868502384,0.605880655410126,0.713394145790595,-9.4906870149663
"HP_CALCIUM_NEPHROLITHIASIS",-0.000470147347168756,0.210708685316679,-0.51633706244903,0.606076443518276,0.713549486868951,-9.49083246460763
"HP_SKIN_EROSION",0.000663511984453927,0.247562192260092,0.516204596906514,0.606168813156673,0.713583050802009,-9.49090105064194
"HP_STOMACH_CANCER",-0.000343460938451334,0.395582578081644,-0.515868099218303,0.606403485073686,0.713784108523477,-9.49107519843763
"GOBP_RESPONSE_TO_OXYGEN_LEVELS",-0.000196997589982595,0.308658828451485,-0.515620064687812,0.606576489357506,0.713912543930985,-9.49120349130961
"GOBP_POSITIVE_REGULATION_OF_PHOSPHOLIPID_BIOSYNTHETIC_PROCESS",0.000619481643448411,0.197219318434848,0.514479842062843,0.607372080932374,0.71477363163121,-9.49179246565556
"GOBP_REGULATION_OF_T_CELL_RECEPTOR_SIGNALING_PATHWAY",0.000426279537383778,0.448474794522331,0.514308075013026,0.607491972176747,0.714839437352883,-9.49188107800734
"GOBP_POSITIVE_REGULATION_OF_FILOPODIUM_ASSEMBLY",0.000377351878350043,0.317112776583444,0.513861888576226,0.607803454339121,0.715096048050974,-9.49211112172695
"HP_CHRONIC_OTITIS_MEDIA",-0.000305229532652856,0.274727273602534,-0.513812351556902,0.607838040485784,0.715096048050974,-9.49213664961516
"GOBP_SULFATE_TRANSMEMBRANE_TRANSPORT",-0.00049865532729116,0.157298197045746,-0.513329848638967,0.608174964349411,0.715413337251721,-9.49238516915419
"HP_ATELECTASIS",-0.000316218867153106,0.204623622274961,-0.513242755775404,0.608235788785695,0.715413337251721,-9.49243000266737
"GOMF_GAP_JUNCTION_CHANNEL_ACTIVITY",-0.000585297116864225,-0.103460634786953,-0.511091758379553,0.609738879748886,0.717055267305708,-9.49353488038768
"GOBP_LYMPHOCYTE_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE",0.000211426533776371,0.392349779814116,0.511061434701622,0.609760081433581,0.717055267305708,-9.49355042329773
"HP_PSORIASIFORM_DERMATITIS",0.000588637804456976,0.337946811518829,0.510555392619378,0.610113944154553,0.717395897293799,-9.49380966783679
"HP_ACUTE_KIDNEY_INJURY",-0.000275721290104031,0.267949273626342,-0.51015747137553,0.610392265058255,0.717647639915924,-9.49401334224428
"GOBP_PYRIDINE_CONTAINING_COMPOUND_METABOLIC_PROCESS",-0.00033654242703314,0.348567237184384,-0.509865990093013,0.610596173861106,0.717811851312362,-9.49416243522332
"GOBP_GLUCURONATE_METABOLIC_PROCESS",0.000686082072818332,0.12784699116085,0.509221898805968,0.611046862483965,0.718266109972209,-9.49449158703797
"GOBP_PHOSPHATE_ION_TRANSMEMBRANE_TRANSPORT",0.000419402655150586,0.307344567635825,0.508798851343028,0.611342961273248,0.718538576761047,-9.49470755227966
"HP_ALVEOLAR_CELL_CARCINOMA",0.000494123868993238,0.263543348705181,0.507891601471937,0.611978177847669,0.719209524534061,-9.49517009832452
"HP_NONTUBERCULOUS_MYCOBACTERIAL_PULMONARY_INFECTION",0.000498329350796023,0.32732667659974,0.507763552188796,0.612067855995924,0.719239270469918,-9.49523531575059
"GOBP_GLOMERULUS_DEVELOPMENT",-0.000352512628514823,0.214818032209427,-0.507449949678847,0.612287509353378,0.719396823538193,-9.49539496891522
"GOBP_AMINO_ACID_TRANSMEMBRANE_TRANSPORT",-0.000296715231844435,0.229626698495161,-0.507388298398658,0.612330695245369,0.719396823538193,-9.49542634363633
"GOBP_MAST_CELL_ACTIVATION",0.00029506289191239,0.360057267648067,0.506789336338637,0.612750330615057,0.719814149946662,-9.49573096115298
"GOBP_NORADRENERGIC_NEURON_DIFFERENTIATION",0.000635698356123078,0.000707256541602904,0.506070568377963,0.613254071170719,0.720330178835448,-9.49609603504972
"GOMF_CYSTEINE_TYPE_PEPTIDASE_ACTIVITY",0.000206606866257703,0.291620623297951,0.505327765975151,0.613774849132495,0.720798207155649,-9.49647277312306
"HP_SUBCUTANEOUS_NODULE",-0.000241999217624564,0.347402714296838,-0.505259393768477,0.613822794671738,0.720798207155649,-9.49650742271022
"GOBP_PRESYNAPSE_ASSEMBLY",0.000500407182394913,0.115786179693761,0.505207836876246,0.61385894968616,0.720798207155649,-9.49653354755762
"HP_ABNORMAL_SPLEEN_PHYSIOLOGY",-0.000305872583877737,0.472117329526931,-0.505134250777191,0.613910554635789,0.720798207155649,-9.4965708304101
"GOBP_SPHINGOID_BIOSYNTHETIC_PROCESS",-0.000466244611647335,0.333489154413877,-0.504686710531274,0.614224450065745,0.721090986030116,-9.496797462729
"GOBP_POSITIVE_REGULATION_OF_PROTEIN_EXPORT_FROM_NUCLEUS",0.000286878951354236,0.419241658058743,0.504370362865037,0.614446372651358,0.721275739889303,-9.49695753879465
